                              2017-06 CUE - Browser 2.3 (C)																														
Ordered By	Will Griscom (willgris@microsoft.com)																													
Order Date	"Jul 5 2017, 10:49am PDT"																													
Number of Participants	30																													
																														
Need help?	support@usertesting.com:::mailto:support@usertesting.com																													
																														
Username	meganofalaska	anastasiaj11	chahatmayor	DSD	asimpson1088	platinumallison	Uahmed3471	CMfromColorado	Ani_Test	Mesha2020	ENichols147	bmel	hchow	npetey276	franklyn7895	rosierios88	Lizflores87	karliwalker	Darde89	sid_ling	jaytu75	BStern95	Bbasst626@gmail	robertleung.pro	Aimeerg.Y	G&Rsmom	najat1980	Mbk1687	testerrakesh	Claydood
Web Browser	Edge	Internet Explorer	Chrome	Edge	Edge	Edge	Edge	Edge	Chrome	Internet Explorer	Edge	Edge	Edge	Edge	Chrome	Edge	Edge	Edge	Chrome	Chrome	Edge	Chrome	Edge	Chrome	Edge	Edge	Edge	Edge	Firefox	Chrome
Social Networking		"Facebook, Pinterest"	"Facebook, Linkedin, Twitter, Google+, Pinterest"	"Google+, Facebook"	"Linkedin, Google+, Facebook"	"Linkedin, Facebook, Pinterest, Google+"	"Pinterest, Linkedin, Facebook"	"Linkedin, Facebook"	"Google+, Linkedin, Facebook"	Facebook	"Google+, Pinterest, Twitter, Facebook"	"Google+, Pinterest, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	Twitter	"Facebook, Linkedin, Twitter, Pinterest, Google+"	"Pinterest, Facebook"	"Pinterest, Linkedin, Facebook"	"Google+, Twitter, Linkedin, Facebook"	"Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Linkedin, Facebook"	"Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Linkedin, Facebook"	"Facebook, Linkedin, Twitter"	"Pinterest, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Pinterest, Linkedin, Facebook"	"Facebook, Linkedin, Twitter, Pinterest, Google+"	"Twitter, Facebook"
Other Requirement																														
Screeners																														
Question 1																														
How old are you?	25-45	25-45	18-25	25-45	25-45	25-45	25-45	25-45	25-45	18-25	18-25	18-25	18-25	18-25	25-45	25-45	25-45	25-45	25-45	18-25	25-45	18-25	25-45	18-25	18-25	25-45	25-45	25-45	18-25	25-45
																														
Question 2																														
What is the highest level of schooling you have completed?	Some college	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Completed Masters or Ph.D.	Some college	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed high school	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Completed high school	Some college	Some college	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Some graduate school	Some college	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Some college	Some graduate school	Completed Masters or Ph.D.	Some college	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree
																														
Question 3																														
What is your employment status?	"I work for a single employer, for whom I am paid on a regular basis"	I am a small business owner who employs one or more individuals	I am a full time student	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	"I am a full time student, I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I work for a single employer, for whom I am paid on a regular basis, I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"
																														
Question 4																														
What version of Windows are you using?	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10
																														
Question 5																														
Which web browser do you primarily use on your PC?	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge
																														
Question 6																														
This test will require using Remote Desktop (an app built into Windows 10) to connect to and use another PC.  This will *not* affect your PC in any way.  Are you okay with that?	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"
																														
Notes																														
																											replaced 2198766N			replaced 2198766AD
Tester System Info																														
Browser Version	Edge	Internet Explorer	Chrome	Edge	Edge	Edge	Edge	Edge	Chrome	Internet Explorer	Edge	Edge	Edge	Edge	Chrome	Edge	Edge	Edge	Chrome	Chrome	Edge	Chrome	Edge	Chrome	Edge	Edge	Edge	Edge	Firefox	Chrome
Color Depth	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
CPU	AMD E1-2100 APU with Radeon(TM) HD Graphics 	Intel(R) Core(TM) i5-2520M CPU @ 2.50GHz	Intel(R) Core(TM) m3-6Y30 CPU @ 0.90GHz	Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz	Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz	AMD A6-4400M APU with Radeon(tm) HD Graphics 	Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz	Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz	Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz	Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz	Intel(R) Celeron(R) CPU N2840 @ 2.16GHz	Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz	Intel(R) Core(TM) i5-3210M CPU @ 2.50GHz	Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz	Intel(R) Core(TM) i7-2600K CPU @ 3.40GHz	Intel(R) Core(TM) i3-5015U CPU @ 2.10GHz	Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz	Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	Intel(R) Core(TM) i5-6300U CPU @ 2.40GHz	"AMD FX-8800P Radeon R7, 12 Compute Cores 4C+8G "	Intel(R) Core(TM) i7-4700MQ CPU @ 2.40GHz	Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz	Intel(R) Core(TM) i7-4770K CPU @ 3.50GHz	Intel(R) Pentium(R) CPU N3700 @ 1.60GHz	Intel(R) Core(TM) i3-5005U CPU @ 2.00GHz	Intel(R) Pentium(R) CPU B950 @ 2.10GHz	Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz	AMD FX(tm)-4300 Quad-Core Processor 	Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz
Free Disk Space	148101.11 MB	237381.44 MB	66388.67 MB	154835.3 MB	877652.89 MB	360130.06 MB	856010.97 MB	181692.7 MB	281474.85 MB	178396.17 MB	1155.48 MB	386147.67 MB	27298.13 MB	806278.83 MB	24219.61 MB	875761.2 MB	190209.07 MB	246133.0 MB	49048.29 MB	209041.52 MB	711033.88 MB	677837.89 MB	179690.2 MB	61144.67 MB	586055.71 MB	418995.46 MB	514135.83 MB	682260.97 MB	19168.05 MB	57849.59 MB
Free Memory (RAM)	1255.63 MB	763.1 MB	997.6 MB	3754.66 MB	4964.82 MB	1101.09 MB	2792.84 MB	9255.89 MB	3057.28 MB	5092.32 MB	297.21 MB	413.63 MB	6094.95 MB	4220.19 MB	1043.21 MB	2652.52 MB	4242.39 MB	2975.85 MB	25790.5 MB	5027.46 MB	2964.38 MB	10870.04 MB	4840.41 MB	9623.53 MB	1505.64 MB	2203.59 MB	2377.77 MB	4384.62 MB	5553.89 MB	8140.52 MB
Operating System (OS)	Windows 10 Home 10.0	Windows 7 6.1	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0
Screen Resolution (in pixels)	1366 x 768	1600 x 900	2736 x 1824	1920 x 1080	1920 x 1080	1366 x 768	1366 x 768	1920 x 1080	1920 x 1080	1920 x 1080	1366 x 768	1920 x 1080	1280 x 800	1366 x 768	1920 x 1080	1366 x 768	1920 x 1080	1366 x 768	1920 x 1080	3000 x 2000	1920 x 1080	1366 x 768	1920 x 1080	1920 x 1080	1366 x 768	1366 x 768	1366 x 768	1366 x 768	1360 x 768	1920 x 1080
																														
Total Memory	3554.07 MB	3979.23 MB	4022.11 MB	8013.31 MB	8095.02 MB	3546.26 MB	6034.91 MB	12176.41 MB	8105.84 MB	8051.46 MB	1937.95 MB	3955.63 MB	8098.69 MB	8083.9 MB	8109.07 MB	6053.99 MB	8025.35 MB	8081.14 MB	32720.02 MB	8118.11 MB	5727.12 MB	16296.03 MB	8001.51 MB	16321.66 MB	3938.27 MB	8106.14 MB	6033.8 MB	8107.33 MB	8173.55 MB	12226.59 MB
Study Protocol																														
Starting Url																														
http://cuelink.azurewebsites.net/vm.aspx																														
																														
Introduction																														
"Hi!  This test will focus on trying a few tasks using the Chrome web browser.  We will use Remote Desktop (an app built into Windows 10) to connect to and use another PC.  This will *not* affect your PC in any way.

During each task, please focus on the task itself and do not multitask unless asked. 
 You do not need to talk aloud as you work, there will be several questions and a chance to give feedback at the end of each task. 

This test will take around 20 minutes.

We want to better understand what your experience is like, so please be honest and forthcoming with your feedback. Thank you!"																														
																														
Task 1																														
"First thing is to get connected to the remote PC.  There are a few steps:

1. A website will open, asking for the project name.  Enter ""JuneBrowser"" and submit.

2. A remote desktop file with a name similar to ""CUE-Browser00_...rdp"" will download.  Open or Run this file. It should launch in Remote Desktop Connection (built into Windows 10.)

3. You will be prompted to accept an 'unknown connection' to the remote PC.  Don't worry, this is a one-way connection that won't affect your home PC at all. 

4. When prompted to login, use this password: CUEpassword1


Click 'Next' once you are connected and signed in (you will be able to see a background of a blue Windows logo.)"																														
																														
Task 2																														
"Task 1 of 7: Now that you are logged into the remote PC, go ahead and open up the Chrome web browser.

(It is the red, green, yellow, and blue circle icon in the taskbar.)"																														
																														
Task 3 [Written Response]																														
"Which of the following words best describes the icon for this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 4 [Written Response]																														
"Which of the following words best describes the design of the buttons in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 5 [Written Response]																														
"Which of the following words best describes the spacing and layout of this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 6 [Written Response]																														
"Click the ""…"" button in the upper right hand corner.  What word best describes the appearance of this content:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 7 [Written Response]																														
Please share a bit about why you gave the answers you did.																														
																														
Task 8																														
"Task 2 of 7:
Open up a new tab in this browser, and use it to access a frequently visited site (for example, Twitter)."																														
																														
"Task 9 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully use the new tab to get to the site that you wanted?																														
																														
"Task 10 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to get to a frequently visited site from a new tab was...																														
																														
Task 11 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to get to a frequently visited site from a new tab was easy."""																														
																														
Task 12 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, getting to a frequently visited site from a new tab was easy."""																														
																														
Task 13 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Getting to a frequently visited site from a new tab worked the way I expected."""																														
																														
Task 14 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to get to a frequently visited site from a new tab is important to me."""																														
																														
Task 15 [Written Response]																														
"Which of the following words best describes your experience of using a new tab to get to a frequently visited site in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 16 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with using a new tab to get to a frequently visited site in this browser?																														
																														
Task 17 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 18																														
"Task 3 of 7:
Open a new tab and use it to check the latest news about technology."																														
																														
"Task 19 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully find the latest news about technology in a new tab?																														
																														
"Task 20 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to get to the latest news about technology from a new tab was...																														
																														
Task 21 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to get to the latest news about technology from a new tab was easy."""																														
																														
Task 22 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, getting the latest news about technology from a new tab was easy to do."""																														
																														
Task 23 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Getting the latest news about technology from a new tab worked the way I expected it to."""																														
																														
Task 24 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to get to the latest news about technology from a new tab is important to me."""																														
																														
Task 25 [Written Response]																														
"Which of the following words best describes your experience of finding the latest technology news in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 26 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with finding the latest news about technology in this browser?																														
																														
Task 27 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 28																														
"Task 4 of 7: 
Open a new tab, and use it to check the weather in Shanghai."																														
																														
"Task 29 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to open a new tab and check the weather in Shanghai?																														
																														
"Task 30 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to check the weather in Shanghai was...																														
																														
Task 31 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to check the weather in Shanghai in a new tab was easy."""																														
																														
Task 32 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found it, checking the weather in Shanghai from a new tab was easy."""																														
																														
Task 33 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Checking the weather in Shanghai in a new tab worked the way I expected."""																														
																														
Task 34 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to check the weather in a new tab is important to me."""																														
																														
Task 35 [Written Response]																														
"Which of the following words best describes your experience of checking the weather in Shanghai in a new tab in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 36 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with checking the weather in Shanghai in a new tab in this browser?																														
																														
Task 37 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 38																														
"Task 5 of 7: 
Open a new tab, and search for the age of the oldest tree in the world."																														
																														
"Task 39 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully find the age of the oldest tree?																														
																														
"Task 40 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to search for this information was...																														
																														
Task 41 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to search the web from a new tab was easy."""																														
																														
Task 42 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, searching the web from a new tab was easy."""																														
																														
Task 43 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Searching the web from a new tab worked the way I expected."""																														
																														
Task 44 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to search the web from a new tab is important to me."""																														
																														
Task 45 [Written Response]																														
"Which of the following words best describes your experience of searching the web from a new tab in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 46 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with searching the web in a new tab in this browser?																														
																														
Task 47 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 48																														
"Task 6 of 7:
In a new tab, use the Address Bar to go directly to outsideonline.com."																														
																														
"Task 49 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully go directly to the site?																														
																														
"Task 50 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to get to a site using the Address Bar was...																														
																														
Task 51 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to go directly to a site using the Address Bar was easy."""																														
																														
Task 52 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, going directly to a site using the Address Bar was easy."""																														
																														
Task 53 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Going directly to a site using the Address Bar worked the way I expected."""																														
																														
Task 54 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to go directly to a site using the Address Bar is important to me."""																														
																														
Task 55 [Written Response]																														
"Which of the following words best describes your experience of going directly to a site using the Address Bar in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 56 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with getting to a site using the Address Bar in this browser?																														
																														
Task 57 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 58																														
"Task 7 of 7:
Using the *current* tab, search for a review of the latest Honda CR-V."																														
																														
"Task 59 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully find a review of the latest Honda CR-V?																														
																														
"Task 60 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
