                              2017-06 CUE - Browser 2.3 (E)																														
Ordered By	Will Griscom (willgris@microsoft.com)																													
Order Date	"Jul 5 2017, 11:03am PDT"																													
Number of Participants	30																													
																														
Need help?	support@usertesting.com:::mailto:support@usertesting.com																													
																														
Username	Kopen93	Ald5382	LunaNyx	jordan2929	MTimonin	jediant1	Danielliu168	amtester	Emma Lou	amsext01	estanmore	AAdams101	cregister	opeaina	ipon	isabelcastrillo	RebeccaAnn	algolubkov	Mason378	whiskymeaway	EmmaW	qualitytester84	brodobrev	Rodrigator.1	itsmwaura	Squirks	Dwill1212	NewB1	namoizaba	liamcannon04
Web Browser	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome
Social Networking	"Facebook, Linkedin, Twitter, Google+"	"Pinterest, Facebook"	"Facebook, Linkedin, Twitter, Google+"	"Facebook, Linkedin, Twitter, Google+"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Linkedin, Facebook"	"Facebook, Linkedin"	"Facebook, Pinterest"	"Facebook, Pinterest, Google+"	"Facebook, Linkedin, Twitter, Pinterest, Google+"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Facebook"	"Google+, Pinterest, Twitter, Facebook"	"Pinterest, Google+, Twitter, Facebook"	"Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Facebook, Google+, Pinterest, Facebook"	"Google+, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Twitter, Facebook"		Facebook	"Google+, Twitter, Linkedin, Facebook"	"Linkedin, Google+, Twitter, Facebook"	"Google+, Facebook"	"Pinterest, Twitter, Facebook"	"Google+, Pinterest, Linkedin, Facebook"	"Google+, Pinterest, Linkedin, Facebook"	"Linkedin, Twitter, Facebook"
Other Requirement																														
Screeners																														
Question 1																														
How old are you?	18-25	18-25	18-25	18-25	25-45	25-45	18-25	25-45	18-25	25-45	25-45	18-25	25-45	18-25	18-25	18-25	18-25	18-25	18-25	25-45	18-25	25-45	18-25	25-45	18-25	18-25	18-25	25-45	18-25	18-25
																														
Question 2																														
What is the highest level of schooling you have completed?	Completed Bachelors or Associates degree	Some college	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Some college	Completed Masters or Ph.D.	Completed Masters or Ph.D.	Some college	Completed Masters or Ph.D.	Some college	Completed Bachelors or Associates degree	Completed high school	Completed Masters or Ph.D.	Completed Bachelors or Associates degree	Some college	Completed Bachelors or Associates degree	Completed high school	Some college	Completed high school	Some graduate school	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed high school	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed high school
																														
Question 3																														
What is your employment status?	"I am a full time student, I work for a single employer, for whom I am paid on a regular basis"	"I am a full time student, I work for a single employer, for whom I am paid on a regular basis"	"I am a full time student, I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I am a full time student, I am a small business owner who employs one or more individuals"	"I am a full time student, I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	I am a small business owner who employs one or more individuals	"I work for a single employer, for whom I am paid on a regular basis"	"I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.), I am a small business owner who employs one or more individuals"	"I work for a single employer, for whom I am paid on a regular basis"	I am a small business owner who employs one or more individuals	I am a full time student	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	I am a full time student	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	"I am a full time student, I am a small business owner who employs one or more individuals"	"I work for a single employer, for whom I am paid on a regular basis"	I am a full time student
																														
Question 4																														
What version of Windows are you using?	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10
																														
Question 5																														
Which web browser do you primarily use on your PC?	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome
																														
Question 6																														
This test will require using Remote Desktop (an app built into Windows 10) to connect to and use another PC.  This will *not* affect your PC in any way.  Are you okay with that?	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"
																														
Notes																														
																												replaced 2198809F		
Tester System Info																														
Browser Version	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome
Color Depth	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
CPU	Intel(R) Core(TM) i5-3337U CPU @ 1.80GHz	Intel(R) Core(TM) i7-4720HQ CPU @ 2.60GHz	Intel(R) Core(TM) i7-4710HQ CPU @ 2.50GHz	Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz	Intel(R) Core(TM) i5-6600K CPU @ 3.50GHz	Intel(R) Core(TM) i7-3630QM CPU @ 2.40GHz	Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz	Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz	Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz	"AMD A9-9410 RADEON R5, 5 COMPUTE CORES 2C+3G "	Intel(R) Pentium(R) CPU G4400T @ 2.90GHz	Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz	Intel(R) Core(TM) i7-4710HQ CPU @ 2.50GHz	AMD FX(tm)-4300 Quad-Core Processor 	Intel(R) Core(TM) i5-3320M CPU @ 2.60GHz	Intel(R) Core(TM) i7-4710HQ CPU @ 2.50GHz	Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz	AMD A6-5200 APU with Radeon(TM) HD Graphics 	Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz	Intel(R) Core(TM) i3-4030U CPU @ 1.90GHz	Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz	Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz	Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz	Intel(R) Core(TM) i5-2430M CPU @ 2.40GHz	Intel(R) Core(TM) i3-3227U CPU @ 1.90GHz	Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz	Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz	AMD A6-6310 APU with AMD Radeon R4 Graphics 	Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz	Intel(R) Core(TM) i7-2600K CPU @ 3.40GHz
Free Disk Space	622724.83 MB	378415.31 MB	320949.26 MB	759439.8 MB	20684.36 MB	573184.61 MB	727417.37 MB	118616.22 MB	752272.23 MB	891554.15 MB	851616.03 MB	827213.02 MB	626769.28 MB	233768.8 MB	51907.73 MB	735646.96 MB	629295.46 MB	586406.98 MB	83804.2 MB	195550.15 MB	45866.24 MB	907669.82 MB	315455.18 MB	8440.2 MB	16282.12 MB	16773.02 MB	735482.64 MB	404643.45 MB	52217.47 MB	241225.54 MB
Free Memory (RAM)	2829.45 MB	10564.51 MB	3862.51 MB	3256.86 MB	1018.08 MB	8310.86 MB	10532.37 MB	3355.34 MB	3074.8 MB	4167.89 MB	1876.75 MB	2427.17 MB	9907.3 MB	2236.8 MB	13679.98 MB	12635.17 MB	1513.32 MB	815.54 MB	12365.1 MB	1627.41 MB	2140.9 MB	5185.18 MB	1953.03 MB	1165.01 MB	714.72 MB	13354.65 MB	4752.04 MB	905.16 MB	937.12 MB	10067.88 MB
Operating System (OS)	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows NT (unknown) 6.3	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0
Screen Resolution (in pixels)	1920 x 1080	3840 x 2160	1920 x 1080	1366 x 768	1920 x 1080	1366 x 768	3840 x 2160	1920 x 1080	1366 x 768	1366 x 768	1920 x 1080	1366 x 768	1920 x 1080	1366 x 768	1366 x 768	1600 x 900	1366 x 768	1366 x 768	1920 x 1080	1366 x 768	1366 x 768	1366 x 768	1366 x 768	1366 x 768	1366 x 768	1920 x 1200	1920 x 1080	1366 x 768	1920 x 1080	1920 x 1080
																														
Total Memory	6019.27 MB	16296.27 MB	8074.86 MB	8122.15 MB	8143.13 MB	12163.35 MB	16238.56 MB	8073.11 MB	8108.61 MB	7633.24 MB	8099.48 MB	8060.13 MB	16296.27 MB	7149.54 MB	16201.91 MB	16314.15 MB	6042.57 MB	3534.26 MB	16333.6 MB	8108.61 MB	6029.74 MB	8060.22 MB	3995.84 MB	3947.86 MB	6031.35 MB	16308.87 MB	8109.79 MB	3545.11 MB	4000.7 MB	16290.54 MB
Study Protocol																														
Starting Url																														
http://cuelink.azurewebsites.net/vm.aspx																														
																														
Introduction																														
"Hi!  This test will focus on trying a few tasks using the Microsoft Edge web browser.  We will use Remote Desktop (an app built into Windows 10) to connect to and use another PC.  This will *not* affect your PC in any way.

During each task, please focus on the task itself and do not multitask unless asked.   You do not need to talk aloud as you work, there will be several questions and a chance to give feedback at the end of each task. 

This test will take around 20 minutes.

We want to better understand what your experience is like, so please be honest and forthcoming with your feedback. Thank you!"																														
																														
Task 1																														
"First thing is to get connected to the remote PC.  There are a few steps:

1. A website will open, asking for the project name.  Enter ""JuneBrowser"" and submit.

2. A remote desktop file with a name similar to ""CUE-Browser00_...rdp"" will download.  Open or Run this file. It should launch in Remote Desktop Connection (built into Windows 10.)

3. You will be prompted to accept an 'unknown connection' to the remote PC.  Don't worry, this is a one-way connection that won't affect your home PC at all. 

4. When prompted to login, use this password: CUEpassword1


Click 'Next' once you are connected and signed in (you will be able to see a background of a blue Windows logo.)"																														
																														
Task 2																														
"Task 1 of 7: Now that you are logged into the remote PC, go ahead and open up the Edge web browser.

(It is the blue 'e' icon in the taskbar.)"																														
																														
Task 3 [Written Response]																														
"Which of the following words best describes the icon for this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 4 [Written Response]																														
"Which of the following words best describes the design of the buttons in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 5 [Written Response]																														
"Which of the following words best describes the spacing and layout of this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 6 [Written Response]																														
"Click the ""…"" button in the upper right hand corner.  What word best describes the appearance of this content:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
Task 7 [Written Response]																														
Please share a bit about why you gave the answers you did.																														
																														
Task 8																														
"Task 2 of 7:
Open up a new tab in this browser, and use it to access a frequently visited site (for example, Twitter)."																														
																														
"Task 9 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully use the new tab to get to the site that you wanted?																														
																														
"Task 10 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to get to a frequently visited site from a new tab was...																														
																														
Task 11 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to get to a frequently visited site from a new tab was easy."""																														
																														
Task 12 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, getting to a frequently visited site from a new tab was easy."""																														
																														
Task 13 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Getting to a frequently visited site from a new tab worked the way I expected."""																														
																														
Task 14 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to get to a frequently visited site from a new tab is important to me."""																														
																														
Task 15 [Written Response]																														
"Which of the following words best describes your experience of using a new tab to get to a frequently visited site in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 16 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with using a new tab to get to a frequently visited site in this browser?																														
																														
Task 17 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 18																														
"Task 3 of 7:
Open a new tab and use it to check the latest news about technology."																														
																														
"Task 19 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully find the latest news about technology in a new tab?																														
																														
"Task 20 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to get to the latest news about technology from a new tab was...																														
																														
Task 21 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to get to the latest news about technology from a new tab was easy."""																														
																														
Task 22 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, getting the latest news about technology from a new tab was easy to do."""																														
																														
Task 23 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Getting the latest news about technology from a new tab worked the way I expected it to."""																														
																														
Task 24 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to get to the latest news about technology from a new tab is important to me."""																														
																														
Task 25 [Written Response]																														
"Which of the following words best describes your experience of finding the latest technology news in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 26 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with finding the latest news about technology in this browser?																														
																														
Task 27 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 28																														
"Task 4 of 7: 
Open a new tab, and use it to check the weather in Shanghai."																														
																														
"Task 29 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to open a new tab and check the weather in Shanghai?																														
																														
"Task 30 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to check the weather in Shanghai was...																														
																														
Task 31 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to check the weather in Shanghai in a new tab was easy."""																														
																														
Task 32 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, checking the weather in Shanghai from a new tab was easy."""																														
																														
Task 33 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Checking the weather in Shanghai in a new tab worked the way I expected."""																														
																														
Task 34 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to check the weather in a new tab is important to me."""																														
																														
Task 35 [Written Response]																														
"Which of the following words best describes your experience of checking the weather in Shanghai in a new tab in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 36 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with checking the weather in Shanghai in a new tab in this browser?																														
																														
Task 37 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 38																														
"Task 5 of 7: 
Open a new tab, and search for the age of the oldest tree in the world."																														
																														
"Task 39 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully find the age of the oldest tree?																														
																														
"Task 40 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to search for this information was...																														
																														
Task 41 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to search the web from a new tab was easy."""																														
																														
Task 42 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, searching the web from a new tab was easy."""																														
																														
Task 43 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Searching the web from a new tab worked the way I expected."""																														
																														
Task 44 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to search the web from a new tab is important to me."""																														
																														
Task 45 [Written Response]																														
"Which of the following words best describes your experience of searching the web from a new tab in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 46 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with searching the web in a new tab in this browser?																														
																														
Task 47 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 48																														
"Task 6 of 7:
In a new tab, use the Address Bar to go directly to outsideonline.com."																														
																														
"Task 49 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully go directly to the site?																														
																														
"Task 50 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to get to a site using the Address Bar was...																														
																														
Task 51 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to go directly to a site using the Address Bar was easy."""																														
																														
Task 52 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found it, going directly to a site using the Address Bar was easy."""																														
																														
Task 53 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Going directly to a site using the Address Bar worked the way I expected."""																														
																														
Task 54 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to go directly to a site using the Address Bar is important to me."""																														
																														
Task 55 [Written Response]																														
"Which of the following words best describes your experience of going directly to a site using the Address Bar in this browser:

Boring, Complicated, Calm, Creative, Cutting-edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 56 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with getting to a site using the Address Bar in this browser?																														
																														
Task 57 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 58																														
"Task 7 of 7:
Using the *current* tab, search for a review of the latest Honda CR-V."																														
																														
"Task 59 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully find a review of the latest Honda CR-V?																														
																														
"Task 60 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to search the web from your current tab was...																														
																														
