                              2017-06 CUE - Browser 1.3 (C)																														
Ordered By	Michael Van Waardhuizen (micvan@microsoft.com)																													
Order Date	"Jun 29 2017, 12:28pm PDT"																													
Number of Participants	30																													
																														
Need help?	support@usertesting.com:::mailto:support@usertesting.com																													
																														
Username	mkadomat	Dooganhead3440	randru15	Mw901113	Kobby	AndyH4482	mopo28	Ruari	sc_moss@me.com	quantumsyphr	Rynocerator99	TignerC	ce1585	zuidema_15	bluna81	NJLeprechaun	NathanV	lynde614	anorgard	chiisai704	Steph89	Britbig	alsh220	calebacook	Carely426	Chido	Animaldoccsc	Esmith2	MandyGirl86	vipulsurana24
Web Browser	Chrome	Chrome	Edge	Chrome	Chrome	Edge	Edge	Chrome	Edge	Edge	Edge	Chrome	Edge	Edge	Edge	Chrome	Edge	Edge	Chrome	Edge	Edge	Edge	Edge	Chrome	Edge	Chrome	Edge	Chrome	Edge	Chrome
Social Networking	"Google+, Pinterest, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Twitter, Facebook"	"Pinterest, Google+, Twitter, Facebook"	"Pinterest, Twitter, Facebook"	"Pinterest, Twitter, Facebook"	"Pinterest, Google+, Twitter, Linkedin, Facebook"		Google+	"Pinterest, Twitter, Facebook"	"Google+, Pinterest, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Facebook"	"Pinterest, Twitter, Linkedin, Facebook"	"Facebook, Linkedin, Twitter, Pinterest, Google+"	"Google+, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Pinterest, Facebook"	"Twitter, Google+, Linkedin, Facebook"	"Pinterest, Facebook"	"Twitter, Facebook"	"Facebook, Linkedin, Twitter, Pinterest, Google+"	"Twitter, Linkedin, Facebook"	"Pinterest, Twitter, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"
Other Requirement																														
Screeners																														
Question 1																														
How old are you?	25-45	25-45	25-45	18-25	18-25	25-45	25-45	25-45	25-45	18-25	18-25	25-45	25-45	18-25	25-45	25-45	18-25	25-45	25-45	25-45	25-45	25-45	25-45	18-25	25-45	18-25	25-45	25-45	25-45	25-45
																														
Question 2																														
What is the highest level of schooling you have completed?	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed high school	Completed Bachelors or Associates degree	Some college	Some college	Completed Masters or Ph.D.	Some college	Some college	Some college	Some college	Some college	Some college	Some college	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Some college	Some college	Some college	Completed Masters or Ph.D.	Some college	Completed Bachelors or Associates degree	Some graduate school	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Completed Masters or Ph.D.
																														
Question 3																														
What is your employment status?	"I work for a single employer, for whom I am paid on a regular basis, I am a small business owner who employs one or more individuals"	"I work for a single employer, for whom I am paid on a regular basis, I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)"	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I am a small business owner who employs one or more individuals	I am a small business owner who employs one or more individuals	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	I am a small business owner who employs one or more individuals	"I work for a single employer, for whom I am paid on a regular basis, I am a small business owner who employs one or more individuals"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis, I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)"
																														
Question 4																														
What version of Windows are you using?	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10
																														
Question 5																														
Which web browser do you primarily use on your PC?	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge	Microsoft Edge
																														
Question 6																														
This test will require using Remote Desktop (an app built into Windows 10) to connect to and use another PC.  This will *not* affect your PC in any way.  Are you okay with that?	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"
																														
Notes																														
																														
Tester System Info																														
Browser Version	Chrome	Chrome	Edge	Chrome	Chrome	Edge	Edge	Chrome	Edge	Edge	Edge	Chrome	Edge	Edge	Edge	Chrome	Edge	Edge	Chrome	Edge	Edge	Edge	Edge	Chrome	Edge	Chrome	Edge	Chrome	Edge	Chrome
Color Depth	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
CPU	Intel(R) Pentium(R) CPU N3540 @ 2.16GHz	Intel(R) Core(TM) i5-4670K CPU @ 3.40GHz	Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz	AMD A8-5545M APU with Radeon(tm) HD Graphics 	Intel(R) Core(TM) i5-5200U CPU @ 2.20GHz	AMD A6-5200 APU with Radeon(TM) HD Graphics 	Intel(R) Core(TM) i3-3217U CPU @ 1.80GHz	Intel(R) Core(TM)2 Quad CPU Q8400 @ 2.66GHz	Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz	Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz	Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz	AMD Athlon(tm) II X4 640 Processor	Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz	Intel(R) Core(TM) i7-6500U CPU @ 2.50GHz	Intel(R) Core(TM) i3-2370M CPU @ 2.40GHz	Intel(R) Core(TM) i7-3610QM CPU @ 2.30GHz	Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz	Intel(R) Core(TM)2 Duo CPU E8400 @ 3.00GHz	AMD A6-5200 APU with Radeon(TM) HD Graphics 	AMD A6-7310 APU with AMD Radeon R4 Graphics 	Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz	AMD A8-5545M APU with Radeon(tm) HD Graphics 	Intel(R) Core(TM) i7-7500U CPU @ 2.70GHz	Intel(R) Core(TM) i5 CPU M 520 @ 2.40GHz	Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz	Intel(R) Pentium(R) CPU B950 @ 2.10GHz	Intel(R) Core(TM) i5-4200U CPU @ 1.60GHz	Intel(R) Core(TM) i3-3240 CPU @ 3.40GHz	Intel(R) Core(TM) i5-6400 CPU @ 2.70GHz	Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz
Free Disk Space	404127.08 MB	58793.43 MB	844344.97 MB	858602.84 MB	107736.94 MB	364613.08 MB	330416.71 MB	74496.33 MB	889764.09 MB	43456.39 MB	12328.05 MB	614874.53 MB	570152.38 MB	381615.65 MB	405382.14 MB	31988.59 MB	8450.47 MB	157450.44 MB	381992.35 MB	847362.64 MB	818077.98 MB	855413.51 MB	885676.15 MB	74256.96 MB	880674.97 MB	180582.19 MB	459666.18 MB	781748.35 MB	2686546.82 MB	409486.84 MB
Free Memory (RAM)	2023.47 MB	4933.11 MB	4517.5 MB	3245.87 MB	5385.3 MB	1550.05 MB	661.8 MB	3404.09 MB	4188.05 MB	4530.33 MB	9024.94 MB	2820.56 MB	8421.66 MB	11968.88 MB	2817.66 MB	1989.08 MB	6849.7 MB	1598.96 MB	534.01 MB	2397.75 MB	2229.55 MB	3859.01 MB	4908.54 MB	1921.05 MB	3770.93 MB	1820.47 MB	4864.03 MB	1839.11 MB	8677.62 MB	4518.95 MB
Operating System (OS)	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Enterprise 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home Single Language 10.0
Screen Resolution (in pixels)	1366 x 768	1920 x 1080	1920 x 1080	1366 x 768	1366 x 768	1366 x 768	1366 x 768	1280 x 768	1920 x 1080	1920 x 1080	1920 x 1080	1366 x 768	1920 x 1080	3200 x 1800	1366 x 768	1366 x 768	1920 x 1080	1680 x 1050	1366 x 768	1366 x 768	1920 x 1080	1366 x 768	1366 x 768	1920 x 1080	1366 x 768	1366 x 768	1600 x 900	1920 x 1080	1920 x 1080	1366 x 768
																														
Total Memory	3978.2 MB	8134.75 MB	8072.91 MB	7365.01 MB	16298.33 MB	3537.01 MB	3977.27 MB	8090.12 MB	8030.84 MB	8094.41 MB	16264.78 MB	4863.28 MB	16333.16 MB	16289.91 MB	6044.31 MB	8091.3 MB	12202.91 MB	4991.24 MB	3554.01 MB	5056.25 MB	6049.09 MB	7364.7 MB	8109.13 MB	4021.83 MB	8096.64 MB	3932.36 MB	8090.57 MB	3992.36 MB	16332.75 MB	8083.9 MB
Study Protocol																														
Starting Url																														
http://cuelink.azurewebsites.net/vm.aspx																														
																														
Introduction																														
"Hi!  This test will focus on trying a few lightweight tasks using the Chrome web browser.  We will test it on a remote PC, but try to ignore that aspect of it.

During each task, please focus on the task itself and do not multitask unless asked.    You do not need to talk aloud as you work, there will be several questions and a chance to give feedback at the end of each task. 

This test should take around 20 minutes.

We want to better understand what your experience with Chrome is like, so please be honest and forthcoming with your feedback. Thank you!"																														
																														
Task 1																														
"First thing is to get connected to the remote PC.  There are a few steps:

1. A website will open, asking for the project name.  Enter ""JuneBrowser"" and press ""Submit.""

2. A remote desktop file with a name similar to ""CUE-Browser00_...rdp"" will download.  Open or Run this file. It should launch in Remote Desktop Connection (built into Windows 10.)

3. You will be prompted to accept an 'unknown connection' to the remote PC.  Don't worry, this is a one-way connection that won't affect your home PC at all. 

4. When prompted to login, use this password: CUEpassword1


Click 'Next' once you are connected and signed in (the background should be a blue Windows logo.)"																														
																														
Task 2																														
"Now that you are logged into the remote PC, go ahead and open up the Chrome web browser.

(Chrome is the red, green, yellow and blue circle icon in the taskbar.)"																														
																														
Task 3																														
"Task 1 of 8: Visit a lasagna recipe site from your Bookmarks.

If you have any difficulty seeing or clicking things in the browser, try clicking the 'pin' icon on the blue toolbar to hide it, or move this instruction window to see what's behind it."																														
																														
"Task 4 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully visit the site about lasagna?																														
																														
"Task 5 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to visit a bookmarked site was...																														
																														
Task 6 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding the lasagna recipe Bookmark was easy."""																														
																														
Task 7 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, visiting a bookmarked site was easy to do."""																														
																														
Task 8 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Visiting a bookmarked site worked the way I expected."""																														
																														
Task 9 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to visit a bookmarked site is important to me."""																														
																														
Task 10 [Written Response]																														
"Which of the following words best describes your experience of opening a bookmark in this browser:

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 11 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with opening a bookmarked site in this browser?																														
																														
Task 12 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 13																														
"Task 2 of 8:
Open all the sites in the Bookmarks folder called ""Interesting Animals"" so that each one is in a different tab. (There should be five total.)

If you have any difficulty seeing or clicking things in the browser, try clicking the 'pin' icon on the blue toolbar to hide it, or move this instruction window to see what's behind it."																														
																														
"Task 14 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully open all the bookmarks in new tabs?																														
																														
"Task 15 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to do this was...																														
																														
Task 16 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to open all the bookmarks in new tabs was easy."""																														
																														
Task 17 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, opening all the bookmarks in new tabs was easy to do."""																														
																														
Task 18 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Opening the bookmarks in new tabs worked the way I expected."""																														
																														
Task 19 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to open bookmarks in new tabs is important to me."""																														
																														
Task 20 [Written Response]																														
"Which of the following words best describes your experience of opening bookmarks in new tabs in this browser:

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 21 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with opening bookmarks in new tabs in this browser?																														
																														
Task 22 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 23																														
"Task 3 of 8:
Change the order of the tabs in the browser so that they are in reverse alphabetical order (Z to A).


If you have any difficulty seeing or clicking things in the browser, try clicking the 'pin' icon on the blue toolbar to hide it, or move this instruction window to see what's behind it."																														
																														
"Task 24 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully change the order of the tabs?																														
																														
"Task 25 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to change the order of the tabs was...																														
																														
Task 26 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to change the order of the tabs was easy."""																														
																														
Task 27 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, changing the order of the tabs was easy to do."""																														
																														
Task 28 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Changing the order of the tabs worked the way that I expected."""																														
																														
Task 29 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to change the order of the tabs is important to me."""																														
																														
Task 30 [Written Response]																														
"Which of the following words best describes your experience of changing the order of tabs in this browser:

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 31 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with changing the order of tabs in this browser?																														
																														
Task 32 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 33																														
"Task 4 of 8: 
Pull two tabs out from the current window and put them in the same new window as each other."																														
																														
"Task 34 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to move the tabs to a new window?																														
																														
"Task 35 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to move the tabs to a new window was...																														
																														
Task 36 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to move the tabs to a new window was easy."""																														
																														
Task 37 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, moving the tabs to a new window was easy to do."""																														
																														
Task 38 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Moving the tabs to a new window worked the way that I expected."""																														
																														
Task 39 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to move tabs to a new window is important to me."""																														
																														
Task 40 [Written Response]																														
"Which of the following words best describes your experience of moving tabs to a new window in this browser:

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 41 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with moving a group of tabs to a new window in this browser?																														
																														
Task 42 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 43																														
"Task 5 of 8: 
Close the window that has two tabs in it.

(If you have only one window open, try creating a new window and opening two tabs in it. Then close that window.)"																														
																														
"Task 44 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully close the window?																														
																														
"Task 45 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to close this window was...																														
																														
Task 46 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to close a browser window was easy."""																														
																														
Task 47 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, closing a browser window was easy to do."""																														
																														
Task 48 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Closing a browser window worked the way I expected."""																														
																														
Task 49 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to close a browser window is important to me."""																														
																														
Task 50 [Written Response]																														
"Which of the following words best describes your experience of closing a window with multiple tabs in this browser:

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 51 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with closing a window in this browser?																														
																														
Task 52 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 53																														
"Task 6 of 8:
In the remaining window, close only two of the tabs, so that at least one is still open."																														
																														
"Task 54 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully close two of the tabs?																														
																														
"Task 55 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to close two of the tabs was...																														
																														
Task 56 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to close individual tabs was easy."""																														
																														
Task 57 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, closing individual tabs was easy to do."""																														
																														
Task 58 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Closing individual tabs worked the way I expected."""																														
																														
Task 59 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to close individual tabs is important to me."""																														
																														
Task 60 [Written Response]																														
"Which of the following words best describes your experience of closing individual tabs in this browser?

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
