                              2017-06 CUE - Browser 1.3 (E)																														
Ordered By	Michael Van Waardhuizen (micvan@microsoft.com)																													
Order Date	"Jun 29 2017, 12:27pm PDT"																													
Number of Participants	30																													
																														
Need help?	support@usertesting.com:::mailto:support@usertesting.com																													
																														
Username	Morgan0517	CubanGringo	jcshao	DoctorAines	andream885	eisor_	Christy989	cprechtl	Kevin_Rs5	MelsKolozyan	MrFrolic	deela_99	MKE.15	shamilton	TheSteven	NightShade21099	DeelBee 	niecyisms	ibbykarim93	Taylor33	KNesbitt19	kgzoltani	ShariDel	14thousandfeet	Liantonette	VasKeZ	byc090020	Wanderhome	zbeel85	omrigold13
Web Browser	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome
Social Networking	"Facebook, Twitter, Pinterest, Linkedin, Google+"	"Google+, Twitter, Linkedin, Facebook"	"Facebook, Linkedin, Twitter, Pinterest, Google+"	"Facebook, Twitter"	"Facebook, Linkedin, Pinterest, Google+"	"Twitter, Facebook"	"Google+, Pinterest, Twitter, Facebook"	"Facebook, Linkedin, Twitter, Pinterest, Google+"	"Google+, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Twitter, Linkedin, Facebook"	"Facebook, Pinterest"	"Facebook, Pinterest"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Google+, Twitter, Facebook"	"Google+, Twitter, Facebook"	"Google+, Pinterest, Twitter, Facebook"	"Google+, Pinterest, Twitter, Linkedin, Facebook"	"Twitter, Facebook"	"Google+, Pinterest, Twitter, Facebook"	"Pinterest, Twitter, Facebook"	"Google+, Linkedin, Facebook"	"Linkedin, Facebook"	"Pinterest, Twitter, Linkedin, Facebook"	Facebook	"Google+, Linkedin, Facebook"	"Facebook, Twitter, Linkedin, Pinterest, Google+"	"Pinterest, Twitter, Linkedin, Facebook"	"Facebook, Linkedin, Twitter, Google+"	"Google+, Twitter, Facebook"
Other Requirement																														
Screeners																														
Question 1																														
How old are you?	25-45	18-25	25-45	18-25	25-45	18-25	18-25	25-45	25-45	18-25	18-25	25-45	18-25	25-45	18-25	25-45	18-25	25-45	18-25	25-45	18-25	25-45	25-45	25-45	18-25	25-45	18-25	18-25	25-45	18-25
																														
Question 2																														
What is the highest level of schooling you have completed?	Some college	Some college	Completed Masters or Ph.D.	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Some college	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Some college	Completed Bachelors or Associates degree	Completed Masters or Ph.D.	Some college	Completed Bachelors or Associates degree	Some college	Some college	Completed high school	Some college	Some graduate school	Completed high school	Some college	Completed Bachelors or Associates degree	Completed high school	Completed Bachelors or Associates degree	Completed high school	Completed Bachelors or Associates degree	Completed Bachelors or Associates degree	Some college	Some graduate school	Completed high school
																														
Question 3																														
What is your employment status?	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	"I am a full time student, I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.), I am a small business owner who employs one or more individuals"	"I work for a single employer, for whom I am paid on a regular basis"	"I am a full time student, I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	I am a small business owner who employs one or more individuals	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I am a small business owner who employs one or more individuals	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I am a full time student, I work for a single employer, for whom I am paid on a regular basis"	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	"I work for a single employer, for whom I am paid on a regular basis"	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis, I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)"	I am a full time student	"I work for a single employer, for whom I am paid on a regular basis"	I sell work or services by the hour/day/job to multiple clients (sometimes known as freelancing or contracting.)	I am a full time student
																														
Question 4																														
What version of Windows are you using?	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10	Windows 10
																														
Question 5																														
Which web browser do you primarily use on your PC?	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome	Google Chrome
																														
Question 6																														
This test will require using Remote Desktop (an app built into Windows 10) to connect to and use another PC.  This will *not* affect your PC in any way.  Are you okay with that?	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"	"Yes, that's fine"
																														
Notes																														
																														
Tester System Info																														
Browser Version	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome	Chrome
Color Depth	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32	32
CPU	Intel(R) Core(TM) i3-5010U CPU @ 2.10GHz	AMD Phenom(tm) II X6 1090T Processor	Intel(R) Core(TM) i3-5010U CPU @ 2.10GHz	AMD A6-5200 APU with Radeon(TM) HD Graphics 	Intel(R) Core(TM) i7-5500U CPU @ 2.40GHz	Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz	Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz	AMD E2-7110 APU with AMD Radeon R2 Graphics 	Intel(R) Core(TM) M-5Y71 CPU @ 1.20GHz	Intel(R) Core(TM) i7-6700HQ CPU @ 2.60GHz	Intel(R) Core(TM) i7-2760QM CPU @ 2.40GHz	Intel(R) Celeron(R) CPU N3060 @ 1.60GHz	Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz	Intel(R) Pentium(R) CPU N3540 @ 2.16GHz	Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz	"AMD A10-7300 Radeon R6, 10 Compute Cores 4C+6G "	Intel(R) Core(TM) i5-5300U CPU @ 2.30GHz	Intel(R) Core(TM) i3-5005U CPU @ 2.00GHz	Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz	Intel(R) Celeron(R) CPU N3050 @ 1.60GHz	Intel(R) Core(TM) i5-4210U CPU @ 1.70GHz	Intel(R) Core(TM) i7-4790K CPU @ 4.00GHz	AMD A4-4300M APU with Radeon(tm) HD Graphics 	Intel(R) Core(TM) i7-4650U CPU @ 1.70GHz	Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz	Pentium(R) Dual-Core CPU E6500 @ 2.93GHz	Intel(R) Core(TM) i5-4690K CPU @ 3.50GHz	Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz	Intel(R) Celeron(R) CPU N2830 @ 2.16GHz	Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Free Disk Space	532915.13 MB	306959.43 MB	477659.45 MB	113932.16 MB	733232.49 MB	342903.42 MB	344293.19 MB	883928.16 MB	63601.92 MB	698407.75 MB	8327.64 MB	8163.33 MB	43298.31 MB	867096.25 MB	70109.7 MB	849012.86 MB	315658.61 MB	396480.69 MB	841183.01 MB	872390.68 MB	641679.02 MB	1595247.62 MB	921203.06 MB	376839.39 MB	384313.84 MB	160206.89 MB	6990.71 MB	820620.52 MB	398020.19 MB	202228.47 MB
Free Memory (RAM)	1702.57 MB	4988.93 MB	3001.97 MB	4292.9 MB	7460.62 MB	1093.26 MB	12085.74 MB	1115.77 MB	3011.59 MB	3097.51 MB	3892.61 MB	1161.89 MB	4547.86 MB	4287.24 MB	22540.39 MB	3014.9 MB	11745.21 MB	461.31 MB	4123.25 MB	1309.67 MB	2107.92 MB	11789.73 MB	3017.95 MB	3543.71 MB	1686.81 MB	1027.63 MB	2563.88 MB	7797.56 MB	2087.56 MB	3954.31 MB
Operating System (OS)	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows NT (unknown) 6.3	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Pro 10.0	Windows 10 Pro 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0	Windows 10 Home 10.0
Screen Resolution (in pixels)	1366 x 768	1920 x 1080	1366 x 768	1600 x 900	1920 x 1080	1366 x 768	2560 x 1440	1600 x 900	3200 x 1800	1920 x 1080	1280 x 1024	1366 x 768	1920 x 1080	1600 x 900	1600 x 900	1366 x 768	1366 x 768	1366 x 768	1600 x 900	1600 x 900	1920 x 1080	1920 x 1080	1366 x 768	2160 x 1440	1366 x 768	1920 x 1200	1920 x 1080	1366 x 768	1366 x 768	1920 x 1080
																														
Total Memory	6059.39 MB	8191.17 MB	8107.39 MB	7629.51 MB	12210.27 MB	5998.91 MB	16343.68 MB	3512.71 MB	8107.08 MB	8064.96 MB	8148.93 MB	4001.58 MB	8080.41 MB	8078.52 MB	32706.67 MB	7110.01 MB	16264.12 MB	4007.41 MB	8122.15 MB	3953.88 MB	8122.15 MB	16335.64 MB	5594.27 MB	8097.09 MB	6032.41 MB	8191.24 MB	8131.87 MB	12205.13 MB	3982.88 MB	8138.15 MB
Study Protocol																														
Starting Url																														
http://cuelink.azurewebsites.net/vm.aspx																														
																														
Introduction																														
"Hi!  This test will focus on trying a few lightweight tasks using the Edge web browser.  We will test it on a remote PC, but try to ignore that aspect of it.

During each task, please focus on the task itself and do not multitask unless asked.    You do not need to talk aloud as you work, there will be several questions and a chance to give feedback at the end of each task. 

This test should take around 20 minutes.

We want to better understand what your experience with Edge is like, so please be honest and forthcoming with your feedback. Thank you!"																														
																														
Task 1																														
"First thing is to get connected to the remote PC.  There are a few steps:

1. A website will open, asking for the project name.  Enter ""JuneBrowser"" and press ""Submit.""

2. A remote desktop file with a name similar to ""CUE-Browser00_...rdp"" will download.  Open or Run this file. It should launch in Remote Desktop Connection (built into Windows 10.)

3. You will be prompted to accept an 'unknown connection' to the remote PC.  Don't worry, this is a one-way connection that won't affect your home PC at all. 

4. When prompted to login, use this password: CUEpassword1


Click 'Next' once you are connected and signed in (the background should be a blue Windows logo.)"																														
																														
Task 2																														
"Now that you are logged into the remote PC, go ahead and open up the Edge web browser.

(Edge is the blue 'e' icon in the taskbar.)"																														
																														
Task 3																														
"Task 1 of 8: Visit a lasagna recipe site from your Favorites.

If you have any difficulty seeing or clicking things in the browser, try clicking the 'pin' icon on the blue toolbar to hide it, or move this instruction window to see what's behind it."																														
																														
"Task 4 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully visit the site about lasagna?																														
																														
"Task 5 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to visit a favorite site was...																														
																														
Task 6 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding the lasagna recipe Favorite was easy."""																														
																														
Task 7 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, visiting a favorite site was easy to do."""																														
																														
Task 8 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Visiting a favorite site worked the way I expected."""																														
																														
Task 9 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to visit a favorite site is important to me."""																														
																														
Task 10 [Written Response]																														
"Which of the following words best describes your experience of opening a favorite in this browser:

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 11 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with opening a favorite site in this browser?																														
																														
Task 12 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 13																														
"Task 2 of 8:
Open all the sites in the Favorites folder called ""Interesting Animals"" so that each one is in a different tab. (There should be five total.)

If you have any difficulty seeing or clicking things in the browser, try clicking the 'pin' icon on the blue toolbar to hide it, or move this instruction window to see what's behind it."																														
																														
"Task 14 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully open all the favorites in new tabs?																														
																														
"Task 15 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to do this was...																														
																														
Task 16 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to open all the favorites in new tabs was easy."""																														
																														
Task 17 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, opening all the favorites in new tabs was easy to do."""																														
																														
Task 18 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Opening the favorites in new tabs worked the way I expected."""																														
																														
Task 19 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to open favorites in new tabs is important to me."""																														
																														
Task 20 [Written Response]																														
"Which of the following words best describes your experience of opening favorites in new tabs in this browser:

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 21 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with opening favorites in new tabs in this browser?																														
																														
Task 22 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 23																														
"Task 3 of 8:
Change the order of the tabs in the browser so that they are in reverse alphabetical order (Z to A).


If you have any difficulty seeing or clicking things in the browser, try clicking the 'pin' icon on the blue toolbar to hide it, or move this instruction window to see what's behind it."																														
																														
"Task 24 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully change the order of the tabs?																														
																														
"Task 25 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to change the order of the tabs was...																														
																														
Task 26 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to change the order of the tabs was easy."""																														
																														
Task 27 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, changing the order of the tabs was easy to do."""																														
																														
Task 28 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Changing the order of the tabs worked the way that I expected."""																														
																														
Task 29 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to change the order of the tabs is important to me."""																														
																														
Task 30 [Written Response]																														
"Which of the following words best describes your experience of changing the order of tabs in this browser:

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 31 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with changing the order of tabs in this browser?																														
																														
Task 32 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 33																														
"Task 4 of 8: 
Pull two tabs out from the current window and put them in the same new window as each other."																														
																														
"Task 34 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to move the tabs to a new window?																														
																														
"Task 35 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to move the tabs to a new window was...																														
																														
Task 36 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to move the tabs to a new window was easy."""																														
																														
Task 37 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, moving the tabs to a new window was easy to do."""																														
																														
Task 38 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Moving the tabs to a new window worked the way that I expected."""																														
																														
Task 39 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to move tabs to a new window is important to me."""																														
																														
Task 40 [Written Response]																														
"Which of the following words best describes your experience of moving tabs to a new window in this browser:

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 41 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with moving a group of tabs to a new window in this browser?																														
																														
Task 42 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 43																														
"Task 5 of 8: 
Close the window that has two tabs in it.

(If you have only one window open, try creating a new window and opening two tabs in it. Then close that window.)"																														
																														
"Task 44 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully close the window?																														
																														
"Task 45 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to close this window was...																														
																														
Task 46 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to close a browser window was easy."""																														
																														
Task 47 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, closing a browser window was easy to do."""																														
																														
Task 48 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Closing a browser window worked the way I expected."""																														
																														
Task 49 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to close a browser window is important to me."""																														
																														
Task 50 [Written Response]																														
"Which of the following words best describes your experience of closing a window with multiple tabs in this browser:

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 51 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with closing a window in this browser?																														
																														
Task 52 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 53																														
"Task 6 of 8:
In the remaining window, close only two of the tabs, so that at least one is still open."																														
																														
"Task 54 [Multiple Choice: Yes, No, I'm not sure.]"																														
Were you able to successfully close two of the tabs?																														
																														
"Task 55 [Multiple Choice: Much longer than I expected, Somewhat longer than I expected, About as I expected, Somewhat faster than I expected, Much faster than I expected]"																														
The time it took to close two of the tabs was...																														
																														
Task 56 [Rating Scale: Strongly disagree to Strongly agree]																														
"Please rate to what extent you agree or disagree with the following statements:

""Finding how to close individual tabs was easy."""																														
																														
Task 57 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Once I found how to do it, closing individual tabs was easy to do."""																														
																														
Task 58 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Closing individual tabs worked the way I expected."""																														
																														
Task 59 [Rating Scale: Strongly disagree to Strongly agree]																														
"""Being able to close individual tabs is important to me."""																														
																														
Task 60 [Written Response]																														
"Which of the following words best describes your experience of closing individual tabs in this browser?

Boring, Complicated, Calm, Creative, Cutting-Edge, Exciting, Familiar, Fresh, Impressive, Innovative, Inspiring, Intimidating, Old, Professional, Trustworthy, or Unprofessional?"																														
																														
"Task 61 [Multiple Choice: Very dissatisfied, Somewhat dissatisfied, Neither satisfied nor dissatisfied, Somewhat satisfied, Very satisfied]"																														
How satisfied are you with closing individual tabs in this browser?																														
																														
Task 62 [Written Response]																														
"Please share a bit about your experience with this task, and why you gave the ratings you did."																														
																														
Task 63																														
